EpochTime,X,Y,Z,ClockBias,HDOP,VDOP,PDOP,GDOP,EastError,NorthError,UpError,NumSats
522218.000000,-1641888.838780,-3664875.043429,4939965.437226,2.221107,0.782144,0.932983,1.217459,1.318795,-0.595284,0.964597,-5.899413,12
522221.000000,-1641888.908256,-3664875.229010,4939965.483201,2.009418,0.782116,0.932885,1.217366,1.318682,-0.582799,0.839618,-5.739397,12
522222.000000,-1641888.428243,-3664875.214704,4939965.108823,2.580943,0.782107,0.932852,1.217335,1.318645,-0.150603,0.767282,-6.162185,12
522223.000000,-1641888.508634,-3664874.790447,4939964.925253,2.656726,0.782097,0.932819,1.217304,1.318607,-0.397451,0.927595,-6.527589,12
522225.000000,-1641888.541211,-3664874.695569,4939965.128554,2.586540,0.782079,0.932754,1.217241,1.318531,-0.465977,1.112317,-6.415447,12
522226.000000,-1641888.805793,-3664875.046160,4939965.582001,2.238786,0.782069,0.932721,1.217210,1.318493,-0.564064,1.064109,-5.793686,12
522227.000000,-1641888.545819,-3664874.718655,4939964.789411,2.791222,0.782060,0.932688,1.217179,1.318455,-0.460742,0.881393,-6.664882,12
522228.000000,-1641888.702341,-3664874.727934,4939965.174110,2.797736,0.782050,0.932655,1.217147,1.318417,-0.599785,1.066698,-6.320053,12
522230.000000,-1641888.975941,-3664874.711369,4939965.508870,2.474491,0.782031,0.932589,1.217085,1.318341,-0.856239,1.201730,-5.998815,12
522231.000000,-1641888.553590,-3664874.717993,4939965.424727,2.487443,0.782022,0.932556,1.217053,1.318303,-0.468104,1.278530,-6.168985,12
522232.000000,-1641888.840638,-3664874.577354,4939965.464167,2.603926,0.782012,0.932523,1.217022,1.318265,-0.787565,1.311839,-6.145189,12
522233.000000,-1641888.644947,-3664874.448780,4939965.426321,2.640776,0.782003,0.932489,1.216990,1.318227,-0.661560,1.441606,-6.298622,12
522235.000000,-1641888.871918,-3664874.357734,4939965.825817,2.458308,0.781984,0.932423,1.216927,1.318150,-0.905917,1.685024,-5.981700,12
522236.000000,-1641888.743648,-3664874.692554,4939966.048054,2.321677,0.781975,0.932389,1.216895,1.318112,-0.651948,1.627735,-5.649790,12
522237.000000,-1641888.930012,-3664874.980407,4939966.141804,1.996304,0.781965,0.932356,1.216864,1.318074,-0.704311,1.422972,-5.363940,12
522240.000000,-1641888.955715,-3664874.901657,4939966.119662,2.061002,0.781937,0.932256,1.216768,1.317959,-0.759969,1.456795,-5.419713,12
522241.000000,-1641888.836226,-3664875.105856,4939965.651830,2.048660,0.781927,0.932222,1.216737,1.317920,-0.567426,1.055914,-5.697314,12
522242.000000,-1641888.502295,-3664874.936221,4939965.443954,2.522729,0.781918,0.932189,1.216705,1.317881,-0.332057,1.151990,-6.042088,12
